hts8;mfn_text_rate;mfn_rate_type_code;mfn_ad_val_rate;mfn_specific_rate;new_eu_rate
03057900;Free;0;0;0;15
03061100;Free;0;0;0;15
03061200;Free;0;0;0;15
03061440;Free;0;0;0;15
03061500;Free;0;0;0;15
03061600;Free;0;0;0;15
03061700;Free;0;0;0;15
03061901;Free;0;0;0;15
03063100;Free;0;0;0;15
03063200;Free;0;0;0;15
03063340;Free;0;0;0;15
03063400;Free;0;0;0;15
03063500;Free;0;0;0;15
03063600;Free;0;0;0;15
03063901;Free;0;0;0;15
03069100;Free;0;0;0;15
03069200;Free;0;0;0;15
03069340;Free;0;0;0;15
03069400;Free;0;0;0;15
03069500;Free;0;0;0;15
03069901;Free;0;0;0;15
03071100;Free;0;0;0;15
03071200;Free;0;0;0;15
03071901;Free;0;0;0;15
03072100;Free;0;0;0;15
03072200;Free;0;0;0;15
03072901;Free;0;0;0;15
03073100;Free;0;0;0;15
03073200;Free;0;0;0;15
03073901;Free;0;0;0;15
03074200;Free;0;0;0;15
03074300;Free;0;0;0;15
03074901;Free;0;0;0;15
03075100;Free;0;0;0;15
03075200;Free;0;0;0;15
03075901;Free;0;0;0;15
03077100;Free;0;0;0;15
03077200;Free;0;0;0;15
03077901;Free;0;0;0;15
03078100;Free;0;0;0;15
03078200;Free;0;0;0;15
03078300;Free;0;0;0;15
03078400;Free;0;0;0;15
03078700;Free;0;0;0;15
03078800;Free;0;0;0;15
03079103;Free;0;0;0;15
03079201;Free;0;0;0;15
03079903;Free;0;0;0;15
03081100;Free;0;0;0;15
03081200;Free;0;0;0;15
03081901;Free;0;0;0;15
03082100;Free;0;0;0;15
03082200;Free;0;0;0;15
03082901;Free;0;0;0;15
03083000;Free;0;0;0;15
03089001;Free;0;0;0;15
03091005;Free;0;0;0;15
03099010;Free;0;0;0;15
03099020;Free;0;0;0;15
03099030;Free;0;0;0;15
03099040;Free;0;0;0;15
03099050;Free;0;0;0;15
03099060;Free;0;0;0;15
03099090;Free;0;0;0;15
04069056;Free;0;0;0;15
04069057;Free;0;0;0;15
05029000;Free;0;0;0;15
05040000;Free;0;0;0;15
05051000;Free;0;0;0;15
05059060;Free;0;0;0;15
05061000;Free;0;0;0;15
05069000;Free;0;0;0;15
05071000;Free;0;0;0;15
05079000;Free;0;0;0;15
05080000;Free;0;0;0;15
05100040;Free;0;0;0;15
05111000;Free;0;0;0;15
05119100;Free;0;0;0;15
05119920;Free;0;0;0;15
05119930;Free;0;0;0;15
05119933;Free;0;0;0;15
06022000;Free;0;0;0;15
06024000;Free;0;0;0;15
06029020;Free;0;0;0;15
06042000;Free;0;0;0;15
06049010;Free;0;0;0;15
06049030;Free;0;0;0;15
07061040;Free;0;0;0;15
07082020;Free;0;0;0;15
07089025;Free;0;0;0;15
07095600;Free;0;0;0;15
07095911;Free;0;0;0;15
07102220;Free;0;0;0;15
07102925;Free;0;0;0;15
07108015;Free;0;0;0;15
07119020;Free;0;0;0;15
07123940;Free;0;0;0;15
07129060;Free;0;0;0;15
07131020;Free;0;0;0;15
07133120;Free;0;0;0;15
07133500;Free;0;0;0;15
07139050;Free;0;0;0;15
07143050;Free;0;0;0;15
07144050;Free;0;0;0;15
07145050;Free;0;0;0;15
07149044;Free;0;0;0;15
07149051;Free;0;0;0;15
08011100;Free;0;0;0;15
08011200;Free;0;0;0;15
08011901;Free;0;0;0;15
08012100;Free;0;0;0;15
08012200;Free;0;0;0;15
08013100;Free;0;0;0;15
08013200;Free;0;0;0;15
08024100;Free;0;0;0;15
08024200;Free;0;0;0;15
08031010;Free;0;0;0;15
08039000;Free;0;0;0;15
08061040;Free;0;0;0;15
08081000;Free;0;0;0;15
08083020;Free;0;0;0;15
08084020;Free;0;0;0;15
08092100;Free;0;0;0;15
08092900;Free;0;0;0;15
08093040;Free;0;0;0;15
08094020;Free;0;0;0;15
08102090;Free;0;0;0;15
08103000;Free;0;0;0;15
08104000;Free;0;0;0;15
08105000;Free;0;0;0;15
08109027;Free;0;0;0;15
08119020;Free;0;0;0;15
08119030;Free;0;0;0;15
08119035;Free;0;0;0;15
08140010;Free;0;0;0;15
09011100;Free;0;0;0;15
09011200;Free;0;0;0;15
09012100;Free;0;0;0;15
09012200;Free;0;0;0;15
09019010;Free;0;0;0;15
09021090;Free;0;0;0;15
09022090;Free;0;0;0;15
09023000;Free;0;0;0;15
09024000;Free;0;0;0;15
09030000;Free;0;0;0;15
09041100;Free;0;0;0;15
09041200;Free;0;0;0;15
09042180;Free;0;0;0;15
09042273;Free;0;0;0;15
09042280;Free;0;0;0;15
09051000;Free;0;0;0;15
09052000;Free;0;0;0;15
09061100;Free;0;0;0;15
09061900;Free;0;0;0;15
09062000;Free;0;0;0;15
09071000;Free;0;0;0;15
09072000;Free;0;0;0;15
09081100;Free;0;0;0;15
09081200;Free;0;0;0;15
09082100;Free;0;0;0;15
09082240;Free;0;0;0;15
09083100;Free;0;0;0;15
09083200;Free;0;0;0;15
09092100;Free;0;0;0;15
09092200;Free;0;0;0;15
09093100;Free;0;0;0;15
09093200;Free;0;0;0;15
09096100;Free;0;0;0;15
09096200;Free;0;0;0;15
09101100;Free;0;0;0;15
09102000;Free;0;0;0;15
09103000;Free;0;0;0;15
09109905;Free;0;0;0;15
09109910;Free;0;0;0;15
09109920;Free;0;0;0;15
09109950;Free;0;0;0;15
10021000;Free;0;0;0;15
10029000;Free;0;0;0;15
10041000;Free;0;0;0;15
10049000;Free;0;0;0;15
10051000;Free;0;0;0;15
10081000;Free;0;0;0;15
11029020;Free;0;0;0;15
11032000;Free;0;0;0;15
11062090;Free;0;0;0;15
11081400;Free;0;0;0;15
11081900;Free;0;0;0;15
12011000;Free;0;0;0;15
12019000;Free;0;0;0;15
12030000;Free;0;0;0;15
12060000;Free;0;0;0;15
12071000;Free;0;0;0;15
12073000;Free;0;0;0;15
12074000;Free;0;0;0;15
12075000;Free;0;0;0;15
12076000;Free;0;0;0;15
12079903;Free;0;0;0;15
12091000;Free;0;0;0;15
12092240;Free;0;0;0;15
12092300;Free;0;0;0;15
12092910;Free;0;0;0;15
12092991;Free;0;0;0;15
12099120;Free;0;0;0;15
12099140;Free;0;0;0;15
12099160;Free;0;0;0;15
12099920;Free;0;0;0;15
12112010;Free;0;0;0;15
12113000;Free;0;0;0;15
12114000;Free;0;0;0;15
12115000;Free;0;0;0;15
12116000;Free;0;0;0;15
12119020;Free;0;0;0;15
12119089;Free;0;0;0;15
12122100;Free;0;0;0;15
12122900;Free;0;0;0;15
12129200;Free;0;0;0;15
12129400;Free;0;0;0;15
12129920;Free;0;0;0;15
12129992;Free;0;0;0;15
12130000;Free;0;0;0;15
12149000;Free;0;0;0;15
13012000;Free;0;0;0;15
13019091;Free;0;0;0;15
13021100;Free;0;0;0;15
13021921;Free;0;0;0;15
13021991;Free;0;0;0;15
13022000;Free;0;0;0;15
13023100;Free;0;0;0;15
13023200;Free;0;0;0;15
14011000;Free;0;0;0;15
14012020;Free;0;0;0;15
14042000;Free;0;0;0;15
14049030;Free;0;0;0;15
14049090;Free;0;0;0;15
15041020;Free;0;0;0;15
15042020;Free;0;0;0;15
15079020;Free;0;0;0;15
15109010;Free;0;0;0;15
15111000;Free;0;0;0;15
15119000;Free;0;0;0;15
15131100;Free;0;0;0;15
15131900;Free;0;0;0;15
15132100;Free;0;0;0;15
15132900;Free;0;0;0;15
15149110;Free;0;0;0;15
15149910;Free;0;0;0;15
15153000;Free;0;0;0;15
15159021;Free;0;0;0;15
15200000;Free;0;0;0;15
15211000;Free;0;0;0;15
15219040;Free;0;0;0;15
16025007;Free;0;0;0;15
16030090;Free;0;0;0;15
16041140;Free;0;0;0;15
16041240;Free;0;0;0;15
16041260;Free;0;0;0;15
16041310;Free;0;0;0;15
16041340;Free;0;0;0;15
16041620;Free;0;0;0;15
16041660;Free;0;0;0;15
16041760;Free;0;0;0;15
16041961;Free;0;0;0;15
16042010;Free;0;0;0;15
16042015;Free;0;0;0;15
16042020;Free;0;0;0;15
16042025;Free;0;0;0;15
16042030;Free;0;0;0;15
16042060;Free;0;0;0;15
16043230;Free;0;0;0;15
16043240;Free;0;0;0;15
16051020;Free;0;0;0;15
16051060;Free;0;0;0;15
16052110;Free;0;0;0;15
16052910;Free;0;0;0;15
16053010;Free;0;0;0;15
16054005;Free;0;0;0;15
16054010;Free;0;0;0;15
16055105;Free;0;0;0;15
16055140;Free;0;0;0;15
16055205;Free;0;0;0;15
16055260;Free;0;0;0;15
16055305;Free;0;0;0;15
16055360;Free;0;0;0;15
16055405;Free;0;0;0;15
16055460;Free;0;0;0;15
16055505;Free;0;0;0;15
16055560;Free;0;0;0;15
16055605;Free;0;0;0;15
16055610;Free;0;0;0;15
16055620;Free;0;0;0;15
16055630;Free;0;0;0;15
16055660;Free;0;0;0;15
16055705;Free;0;0;0;15
16055760;Free;0;0;0;15
16055805;Free;0;0;0;15
16055905;Free;0;0;0;15
16055960;Free;0;0;0;15
16056100;Free;0;0;0;15
16056200;Free;0;0;0;15
16056300;Free;0;0;0;15
16056900;Free;0;0;0;15
17022040;Free;0;0;0;15
17049025;Free;0;0;0;15
18010000;Free;0;0;0;15
18020000;Free;0;0;0;15
18031000;Free;0;0;0;15
18040000;Free;0;0;0;15
18061005;Free;0;0;0;15
18061010;Free;0;0;0;15
18062020;Free;0;0;0;15
19019025;Free;0;0;0;15
19021120;Free;0;0;0;15
19021920;Free;0;0;0;15
19030020;Free;0;0;0;15
19051000;Free;0;0;0;15
19052000;Free;0;0;0;15
19053100;Free;0;0;0;15
19053200;Free;0;0;0;15
19054000;Free;0;0;0;15
19059010;Free;0;0;0;15
20039010;Free;0;0;0;15
20054000;Free;0;0;0;15
20059160;Free;0;0;0;15
20059941;Free;0;0;0;15
20079930;Free;0;0;0;15
20081102;Free;0;0;0;15
20081105;Free;0;0;0;15
20081910;Free;0;0;0;15
20083042;Free;0;0;0;15
20089930;Free;0;0;0;15
20089971;Free;0;0;0;15
20097100;Free;0;0;0;15
20097900;Free;0;0;0;15
20098920;Free;0;0;0;15
21011121;Free;0;0;0;15
21011129;Free;0;0;0;15
21012020;Free;0;0;0;15
21022040;Free;0;0;0;15
21023000;Free;0;0;0;15
21033020;Free;0;0;0;15
21039020;Free;0;0;0;15
21069039;Free;0;0;0;15
22019000;Free;0;0;0;15
22030000;Free;0;0;0;15
22082010;Free;0;0;0;15
22082020;Free;0;0;0;15
22082030;Free;0;0;0;15
22082040;Free;0;0;0;15
22082050;Free;0;0;0;15
22082060;Free;0;0;0;15
22083030;Free;0;0;0;15
22083060;Free;0;0;0;15
22084040;Free;0;0;0;15
22084080;Free;0;0;0;15
22085000;Free;0;0;0;15
22086010;Free;0;0;0;15
22086020;Free;0;0;0;15
22086050;Free;0;0;0;15
22087000;Free;0;0;0;15
22089001;Free;0;0;0;15
22089005;Free;0;0;0;15
22089010;Free;0;0;0;15
22089012;Free;0;0;0;15
22089014;Free;0;0;0;15
22089015;Free;0;0;0;15
22089020;Free;0;0;0;15
22089025;Free;0;0;0;15
22089030;Free;0;0;0;15
22089035;Free;0;0;0;15
22089040;Free;0;0;0;15
22089046;Free;0;0;0;15
22089050;Free;0;0;0;15
22089055;Free;0;0;0;15
22089071;Free;0;0;0;15
22089072;Free;0;0;0;15
22089075;Free;0;0;0;15
23011000;Free;0;0;0;15
23012000;Free;0;0;0;15
23021000;Free;0;0;0;15
23023000;Free;0;0;0;15
23024001;Free;0;0;0;15
23032000;Free;0;0;0;15
23033000;Free;0;0;0;15
23070000;Free;0;0;0;15
23080093;Free;0;0;0;15
23091000;Free;0;0;0;15
23099010;Free;0;0;0;15
