hs_8digit;hs_92_origin;description;excluded;source;mapping_method
51122020;5112.20;"Woven fabrics of combed wool/fine animal hair,<85% by
                weight, mixed with m-m filament";0;WTO ATC Annex;both
51122030;5112.20;"Woven fabrics of combed wool/fine animal hair,<85% by
                weight, mixed with m-m filament";0;WTO ATC Annex;both
51123010;5112.30;"Woven fabrics of combed wool/fine animal hair,<85% by
                weight, mixed with m-m fibre";0;WTO ATC Annex;both
51123020;5112.30;"Woven fabrics of combed wool/fine animal hair,<85% by
                weight, mixed with m-m fibre";0;WTO ATC Annex;both
51123030;5112.30;"Woven fabrics of combed wool/fine animal hair,<85% by
                weight, mixed with m-m fibre";0;WTO ATC Annex;both
51129030;5112.90;Woven fabrics of combed wool/fine animal hair, <85% by weight, nes;0;WTO ATC Annex;both
51129040;5112.90;Woven fabrics of combed wool/fine animal hair, <85% by weight, nes;0;WTO ATC Annex;both
51129050;5112.90;Woven fabrics of combed wool/fine animal hair, <85% by weight, nes;0;WTO ATC Annex;both
51129090;5112.90;Woven fabrics of combed wool/fine animal hair, <85% by weight, nes;0;WTO ATC Annex;both
51130000;5113.00;Woven fabrics of coarse animal hair or of horsehair;0;WTO ATC Annex;both
52041100;5204.11;Cotton sewing thread >/=85% by weight of cotton, not put up for retail sale;0;WTO ATC Annex;both
52041900;5204.19;Cotton sewing thread,<85% by weight of cotton, not put up for retail sale;0;WTO ATC Annex;both
52042000;5204.20;Cotton sewing thread, put up for retail sale;0;WTO ATC Annex;both
52051110;5205.11;Cotton yarn,>/=85%,single, uncombed,>/=714.29 dtex, nt put up;0;WTO ATC Annex;both
52051120;5205.11;Cotton yarn,>/=85%,single, uncombed,>/=714.29 dtex, nt put up;0;WTO ATC Annex;both
52051210;5205.12;Cotton yarn,>/=85%,single, uncombed, 714.29 >dtex>/=232.56, not put up;0;WTO ATC Annex;both
52051220;5205.12;Cotton yarn,>/=85%,single, uncombed, 714.29 >dtex>/=232.56, not put up;0;WTO ATC Annex;both
52051310;5205.13;Cotton yarn,>/=85%,single, uncombed, 232.56>dtex>/=192.31, not put up;0;WTO ATC Annex;both
52051320;5205.13;Cotton yarn,>/=85%,single, uncombed, 232.56>dtex>/=192.31, not put up;0;WTO ATC Annex;both
52051410;5205.14;Cotton yarn,>/=85%,single, uncombed, 192.31 >dtex>/=125, not put up;0;WTO ATC Annex;both
52051420;5205.14;Cotton yarn,>/=85%,single, uncombed, 192.31 >dtex>/=125, not put up;0;WTO ATC Annex;both
52051510;5205.15;Cotton yarn,>/=85%,single, uncombed,<125 dtex, nt put up f retail sale;0;WTO ATC Annex;both
52051520;5205.15;Cotton yarn,>/=85%,single, uncombed,<125 dtex, nt put up f retail sale;0;WTO ATC Annex;both
52052100;5205.21;Cotton yarn,>/=85%, single, combed,>/=714.29, not put up;0;WTO ATC Annex;both
52052200;5205.22;Cotton yarn,>/=85%,single, combed, 714.29 >dtex>/=232.56, not put up;0;WTO ATC Annex;both
52052300;5205.23;Cotton yarn,>/=85%, single, combed, 232.56 >dtex>/=192.31, not put up;0;WTO ATC Annex;both
52052400;5205.24;Cotton yarn,>/=85%, single, combed, 192.31 >dtex>/=125, not put up;0;WTO ATC Annex;both
52052600;5205.25;Cotton yarn,>/=85%,single, combed,<125 dtex, not put up for retail sale;0;WTO ATC Annex;concordance
52052700;5205.25;Cotton yarn,>/=85%,single, combed,<125 dtex, not put up for retail sale;0;WTO ATC Annex;concordance
52052800;5205.25;Cotton yarn,>/=85%,single, combed,<125 dtex, not put up for retail sale;0;WTO ATC Annex;concordance
52053100;5205.31;Cotton yarn,>/=85%, multi, uncombed,>/=714.29 dtex, not put up, nes;0;WTO ATC Annex;both
52053200;5205.32;Cotton yarn,>/=85%,multi, uncombed, 714.29 >dtex>/=232.56, not put up, nes;0;WTO ATC Annex;both
52053300;5205.33;Cotton yarn,>/=85%,multi, uncombed, 232.56 >dtex>/=192.31, not put up, nes;0;WTO ATC Annex;both
52053400;5205.34;Cotton yarn,>/=85%,multi, uncombed, 192.31 >dtex>/=125, nt put up, nes;0;WTO ATC Annex;both
52053500;5205.35;Cotton yarn,>/=85%,multi, uncombed, <125 dtex, not put up, nes;0;WTO ATC Annex;both
52054100;5205.41;Cotton yarn,>/=85%, multiple, combed,>/=714.29 dtex, not put up, nes;0;WTO ATC Annex;both
52054200;5205.42;Cotton yarn,>/=85%,multi, combed, 714.29 >dtex>/=232.56, nt put up, nes;0;WTO ATC Annex;both
52054300;5205.43;Cotton yarn,>/=85%,multi, combed, 232.56 >dtex>/=192.31, nt put up, nes;0;WTO ATC Annex;both
52054400;5205.44;Cotton yarn,>/=85%,multiple, combed, 192.31 >dtex>/=125, not put up, nes;0;WTO ATC Annex;both
52054600;5205.45;Cotton yarn,>/=85%, multiple, combed, <125 dtex, not put up, nes;0;WTO ATC Annex;concordance
52054700;5205.45;Cotton yarn,>/=85%, multiple, combed, <125 dtex, not put up, nes;0;WTO ATC Annex;concordance
