hs_8digit,import_origin,compliance_rate,comment
03031400,CAN,1,USITC DataWeb Jul-Sep 2025
03031901,CAN,0,USITC DataWeb Jul-Sep 2025
03033100,CAN,0.9513,USITC DataWeb Jul-Sep 2025
03033300,CAN,1,USITC DataWeb Jul-Sep 2025
03033901,CAN,1,USITC DataWeb Jul-Sep 2025
03034100,CAN,1,USITC DataWeb Jul-Sep 2025
03035100,CAN,1,USITC DataWeb Jul-Sep 2025
03035900,CAN,1,USITC DataWeb Jul-Sep 2025
03036300,CAN,1,USITC DataWeb Jul-Sep 2025
03036400,CAN,1,USITC DataWeb Jul-Sep 2025
03036500,CAN,1,USITC DataWeb Jul-Sep 2025
03036700,CAN,1,USITC DataWeb Jul-Sep 2025
03036900,CAN,1,USITC DataWeb Jul-Sep 2025
03038900,CAN,0.9942,USITC DataWeb Jul-Sep 2025
03039140,CAN,1,USITC DataWeb Jul-Sep 2025
03039900,CAN,1,USITC DataWeb Jul-Sep 2025
03043300,CAN,1,USITC DataWeb Jul-Sep 2025
03044100,CAN,1,USITC DataWeb Jul-Sep 2025
03044200,CAN,1,USITC DataWeb Jul-Sep 2025
03044300,CAN,1,USITC DataWeb Jul-Sep 2025
03044400,CAN,0.9947,USITC DataWeb Jul-Sep 2025
03044901,CAN,1,USITC DataWeb Jul-Sep 2025
03045200,CAN,1,USITC DataWeb Jul-Sep 2025
03045900,CAN,1,USITC DataWeb Jul-Sep 2025
03047150,CAN,1,USITC DataWeb Jul-Sep 2025
03047210,CAN,0.9941,USITC DataWeb Jul-Sep 2025
03047250,CAN,1,USITC DataWeb Jul-Sep 2025
03047510,CAN,1,USITC DataWeb Jul-Sep 2025
03048150,CAN,1,USITC DataWeb Jul-Sep 2025
03048250,CAN,1,USITC DataWeb Jul-Sep 2025
03048350,CAN,1,USITC DataWeb Jul-Sep 2025
03048700,CAN,0.9624,USITC DataWeb Jul-Sep 2025
03048910,CAN,1,USITC DataWeb Jul-Sep 2025
03048950,CAN,1,USITC DataWeb Jul-Sep 2025
03049510,CAN,1,USITC DataWeb Jul-Sep 2025
03049590,CAN,1,USITC DataWeb Jul-Sep 2025
03049911,CAN,0.8205,USITC DataWeb Jul-Sep 2025
03049991,CAN,1,USITC DataWeb Jul-Sep 2025
03052040,CAN,1,USITC DataWeb Jul-Sep 2025
03053200,CAN,0.9678,USITC DataWeb Jul-Sep 2025
03053940,CAN,0,USITC DataWeb Jul-Sep 2025
03053961,CAN,1,USITC DataWeb Jul-Sep 2025
03054100,CAN,1,USITC DataWeb Jul-Sep 2025
03054200,CAN,1,USITC DataWeb Jul-Sep 2025
03054920,CAN,1,USITC DataWeb Jul-Sep 2025
03054940,CAN,0.8843,USITC DataWeb Jul-Sep 2025
03055100,CAN,0.9956,USITC DataWeb Jul-Sep 2025
03055300,CAN,1,USITC DataWeb Jul-Sep 2025
03055900,CAN,1,USITC DataWeb Jul-Sep 2025
03056120,CAN,0.9692,USITC DataWeb Jul-Sep 2025
03056910,CAN,1,USITC DataWeb Jul-Sep 2025
03056920,CAN,0,USITC DataWeb Jul-Sep 2025
03056940,CAN,1,USITC DataWeb Jul-Sep 2025
03061200,CAN,1,USITC DataWeb Jul-Sep 2025
03061420,CAN,1,USITC DataWeb Jul-Sep 2025
03061440,CAN,1,USITC DataWeb Jul-Sep 2025
03061600,CAN,0.9614,USITC DataWeb Jul-Sep 2025
03063200,CAN,1,USITC DataWeb Jul-Sep 2025
03063340,CAN,0.9927,USITC DataWeb Jul-Sep 2025
03069340,CAN,1,USITC DataWeb Jul-Sep 2025
03071100,CAN,1,USITC DataWeb Jul-Sep 2025
03072100,CAN,1,USITC DataWeb Jul-Sep 2025
03072200,CAN,1,USITC DataWeb Jul-Sep 2025
03072901,CAN,1,USITC DataWeb Jul-Sep 2025
03073100,CAN,1,USITC DataWeb Jul-Sep 2025
03073901,CAN,1,USITC DataWeb Jul-Sep 2025
03076000,CAN,1,USITC DataWeb Jul-Sep 2025
03077100,CAN,1,USITC DataWeb Jul-Sep 2025
03077200,CAN,1,USITC DataWeb Jul-Sep 2025
03077901,CAN,1,USITC DataWeb Jul-Sep 2025
03079103,CAN,1,USITC DataWeb Jul-Sep 2025
03079201,CAN,1,USITC DataWeb Jul-Sep 2025
03079903,CAN,1,USITC DataWeb Jul-Sep 2025
03081100,CAN,1,USITC DataWeb Jul-Sep 2025
03081200,CAN,1,USITC DataWeb Jul-Sep 2025
03081901,CAN,0.8692,USITC DataWeb Jul-Sep 2025
03082100,CAN,1,USITC DataWeb Jul-Sep 2025
03099010,CAN,1,USITC DataWeb Jul-Sep 2025
04012020,CAN,1,USITC DataWeb Jul-Sep 2025
04012040,CAN,1,USITC DataWeb Jul-Sep 2025
04014025,CAN,1,USITC DataWeb Jul-Sep 2025
04021010,CAN,1,USITC DataWeb Jul-Sep 2025
04021050,CAN,1,USITC DataWeb Jul-Sep 2025
04022130,CAN,1,USITC DataWeb Jul-Sep 2025
04029910,CAN,1,USITC DataWeb Jul-Sep 2025
04032090,CAN,1,USITC DataWeb Jul-Sep 2025
04041005,CAN,1,USITC DataWeb Jul-Sep 2025
04041015,CAN,1,USITC DataWeb Jul-Sep 2025
