data_type;exporter;iso2;un_code;hs_8digit;hs_8digit_name;us_imports
2025 New Combination;Afghanistan;AF;4;84119190;;0
2025 New Combination;Afghanistan;AF;4;63022220;;0
2025 New Combination;Afghanistan;AF;4;61031090;;0
2025 New Combination;Afghanistan;AF;4;61031060;;0
2025 New Combination;Afghanistan;AF;4;63049200;;0
2025 New Combination;Afghanistan;AF;4;97039000;;0
2025 New Combination;Afghanistan;AF;4;74112150;;0
2025 New Combination;Afghanistan;AF;4;61046980;;0
2025 New Combination;Afghanistan;AF;4;62019029;;0
2025 New Combination;Afghanistan;AF;4;17029058;;0
2025 New Combination;Afghanistan;AF;4;65050015;;0
2025 New Combination;Afghanistan;AF;4;57024210;;0
2025 New Combination;Afghanistan;AF;4;57022020;;0
2025 New Combination;Afghanistan;AF;4;48191000;;0
2025 New Combination;Afghanistan;AF;4;85049096;;0
2025 New Combination;Afghanistan;AF;4;85414970;;0
2025 New Combination;Afghanistan;AF;4;90258050;;0
2025 New Combination;Afghanistan;AF;4;57039000;;0
2025 New Combination;Afghanistan;AF;4;57023920;;0
2025 New Combination;Afghanistan;AF;4;21041000;;0
2025 New Combination;Afghanistan;AF;4;62064030;;0
2025 New Combination;Afghanistan;AF;4;30043200;;0
2025 New Combination;Afghanistan;AF;4;71171990;;0
2025 New Combination;Afghanistan;AF;4;19021140;;0
2025 New Combination;Afghanistan;AF;4;64035190;;0
2025 New Combination;Afghanistan;AF;4;63053900;;0
2025 New Combination;Afghanistan;AF;4;63031200;;0
2025 New Combination;Afghanistan;AF;4;90261020;;0
2025 New Combination;Afghanistan;AF;4;44219998;;0
2025 New Combination;Albania;AL;8;61109090;;0
2025 New Combination;Albania;AL;8;44182940;;0
2025 New Combination;Albania;AL;8;40118080;;0
2025 New Combination;Albania;AL;8;63079030;;0
2025 New Combination;Albania;AL;8;42022190;;0
2025 New Combination;Albania;AL;8;83024230;;0
2025 New Combination;Albania;AL;8;84368000;;0
2025 New Combination;Albania;AL;8;84148016;;0
2025 New Combination;Albania;AL;8;85044040;;0
2025 New Combination;Albania;AL;8;69072190;;0
2025 New Combination;Albania;AL;8;71181000;;0
2025 New Combination;Albania;AL;8;62114960;;0
2025 New Combination;Albania;AL;8;61045310;;0
2025 New Combination;Albania;AL;8;62112004;;0
2025 New Combination;Albania;AL;8;62112058;;0
2025 New Combination;Albania;AL;8;84289003;;0
2025 New Combination;Albania;AL;8;96140021;;0
2025 New Combination;Albania;AL;8;62031990;;0
2025 New Combination;Albania;AL;8;62031220;;0
2025 New Combination;Albania;AL;8;62023012;;0
2025 New Combination;Albania;AL;8;15094090;;0
2025 New Combination;Albania;AL;8;70200060;;0
2025 New Combination;Albania;AL;8;85149080;;0
2025 New Combination;Albania;AL;8;40169100;;0
2025 New Combination;Albania;AL;8;42029220;;0
2025 New Combination;Albania;AL;8;94031000;;0
2025 New Combination;Albania;AL;8;62019029;;0
2025 New Combination;Albania;AL;8;42029245;;0
2025 New Combination;Albania;AL;8;62031115;;0
2025 New Combination;Albania;AL;8;04061095;;0
2025 New Combination;Albania;AL;8;85075000;;0
2025 New Combination;Albania;AL;8;62121050;;0
2025 New Combination;Albania;AL;8;68022990;;0
2025 New Combination;Albania;AL;8;85443000;;0
2025 New Combination;Albania;AL;8;62104080;;0
2025 New Combination;Albania;AL;8;08042080;;0
2025 New Combination;Albania;AL;8;44189991;;0
2025 New Combination;Albania;AL;8;62059030;;0
2025 New Combination;Albania;AL;8;64029990;;0
2025 New Combination;Albania;AL;8;61033910;;0
2025 New Combination;Albania;AL;8;84135000;;0
2025 New Combination;Albania;AL;8;61099080;;0
2025 New Combination;Albania;AL;8;62111280;;0
2025 New Combination;Albania;AL;8;42050080;;0
2025 New Combination;Albania;AL;8;84254200;;0
2025 New Combination;Albania;AL;8;70080000;;0
2025 New Combination;Albania;AL;8;07112040;;0
2025 New Combination;Albania;AL;8;62014060;;0
2025 New Combination;Albania;AL;8;61121100;;0
2025 New Combination;Albania;AL;8;15094020;;0
2025 New Combination;Albania;AL;8;84716090;;0
2025 New Combination;Albania;AL;8;94052180;;0
2025 New Combination;Albania;AL;8;84314910;;0
2025 New Combination;Albania;AL;8;62024070;;0
2025 New Combination;Albania;AL;8;62046915;;0
2025 New Combination;Albania;AL;8;62149000;;0
2025 New Combination;Albania;AL;8;61046210;;0
2025 New Combination;Albania;AL;8;62014070;;0
2025 New Combination;Albania;AL;8;85044095;;0
2025 New Combination;Albania;AL;8;84239090;;0
2025 New Combination;Albania;AL;8;94013900;;0
2025 New Combination;Albania;AL;8;63053900;;0
2025 New Combination;Albania;AL;8;90275080;;0
2025 New Combination;Albania;AL;8;70072900;;0
2025 New Combination;Albania;AL;8;64021990;;0
2025 New Combination;Albania;AL;8;42029291;;0
2025 New Combination;Albania;AL;8;73089060;;0
2025 New Combination;Albania;AL;8;61112040;;0
2025 New Combination;Albania;AL;8;09021090;;0
2025 New Combination;Albania;AL;8;70053000;;0
2025 New Combination;Albania;AL;8;20057006;;0
2025 New Combination;Albania;AL;8;49070000;;0
2025 New Combination;Albania;AL;8;76020000;;0
2025 New Combination;Albania;AL;8;62034311;;0
2025 New Combination;Albania;AL;8;20081985;;0
2025 New Combination;Albania;AL;8;62123000;;0
2025 New Combination;Albania;AL;8;39209200;;0
2025 New Combination;Albania;AL;8;63053200;;0
2025 New Combination;Albania;AL;8;63061921;;0
2025 New Combination;Albania;AL;8;63071020;;0
2025 New Combination;Albania;AL;8;62044310;;0
2025 New Combination;Albania;AL;8;63025930;;0
2025 New Combination;Albania;AL;8;42022240;;0
2025 New Combination;Albania;AL;8;64021200;;0
2025 New Combination;Albania;AL;8;62111180;;0
2025 New Combination;Albania;AL;8;62044320;;0
2025 New Combination;Albania;AL;8;90262040;;0
2025 New Combination;Albania;AL;8;44182980;;0
2025 New Combination;Albania;AL;8;68010000;;0
2025 New Combination;Albania;AL;8;68022300;;0
2025 New Combination;Albania;AL;8;68159100;;0
2025 New Combination;Albania;AL;8;33049950;;0
2025 New Combination;Albania;AL;8;20081920;;0
2025 New Combination;Albania;AL;8;97019100;;0
2025 New Combination;Albania;AL;8;62046303;;0
2025 New Combination;Albania;AL;8;97019900;;0
2025 New Combination;Albania;AL;8;61044100;;0
2025 New Combination;Albania;AL;8;62041320;;0
2025 New Combination;Albania;AL;8;62089130;;0
2025 New Combination;Albania;AL;8;42021289;;0
2025 New Combination;Albania;AL;8;89032200;;0
2025 New Combination;Albania;AL;8;67042000;;0
2025 New Combination;Albania;AL;8;61171060;;0
2025 New Combination;Albania;AL;8;97012100;;0
2025 New Combination;Albania;AL;8;61041960;;0
2025 New Combination;Albania;AL;8;62113980;;0
2025 New Combination;Albania;AL;8;87089470;;0
2025 New Combination;Albania;AL;8;84185000;;0
2025 New Combination;Albania;AL;8;84186901;;0
2025 New Combination;Albania;AL;8;62034205;;0
2025 New Combination;Albania;AL;8;64035190;;0
2025 New Combination;Albania;AL;8;87032301;;0
2025 New Combination;Albania;AL;8;94052980;;0
2025 New Combination;Albania;AL;8;52010005;;0
2025 New Combination;Albania;AL;8;61081990;;0
2025 New Combination;Albania;AL;8;42032140;;0
2025 New Combination;Albania;AL;8;61031030;;0
2025 New Combination;Albania;AL;8;39262060;;0
2025 New Combination;Albania;AL;8;68151100;;0
2025 New Combination;Albania;AL;8;68029900;;0
2025 New Combination;Albania;AL;8;39262040;;0
2025 New Combination;Albania;AL;8;63079050;;0
2025 New Combination;Albania;AL;8;21022040;;0
2025 New Combination;Albania;AL;8;62089980;;0
2025 New Combination;Albania;AL;8;42023990;;0
2025 New Combination;Albania;AL;8;62033910;;0
2025 New Combination;Albania;AL;8;62089110;;0
2025 New Combination;Albania;AL;8;04062091;;0
2025 New Combination;Albania;AL;8;64039940;;0
2025 New Combination;Albania;AL;8;69101000;;0
2025 New Combination;Albania;AL;8;61041980;;0
2025 New Combination;Albania;AL;8;61041910;;0
2025 New Combination;Albania;AL;8;42021221;;0
2025 New Combination;Albania;AL;8;85182200;;0
2025 New Combination;Albania;AL;8;62044220;;0
2025 New Combination;Albania;AL;8;94037040;;0
2025 New Combination;Albania;AL;8;84193902;;0
2025 New Combination;Albania;AL;8;34025051;;0
2025 New Combination;Albania;AL;8;85362000;;0
2025 New Combination;Albania;AL;8;07112038;;0
